               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016941,             0.01088,           0.0068627,             0.93578,              0.9273,             0.96466,             0.79184,            0.009492,           0.0038073,           0.0025693,             0.00307,             0.00307,             0.00307
                  37,            0.014254,            0.010692,           0.0057319,             0.91341,             0.93493,              0.9564,             0.79327,           0.0093936,           0.0038859,           0.0025232,            0.002872,            0.002872,            0.002872
                  38,            0.014093,            0.010753,           0.0068973,             0.87664,             0.95331,             0.96353,             0.80298,           0.0094143,           0.0039145,           0.0044715,            0.002674,            0.002674,            0.002674
                  39,            0.016405,            0.010565,           0.0061461,             0.93038,             0.92316,             0.96929,             0.80903,           0.0095806,           0.0038499,           0.0045761,            0.002476,            0.002476,            0.002476
                  40,            0.015418,             0.01051,           0.0054439,             0.91122,             0.94659,             0.95892,             0.79719,           0.0093498,           0.0038366,           0.0042542,            0.002278,            0.002278,            0.002278
                  41,            0.015343,            0.010199,           0.0052922,             0.90654,             0.93416,             0.95907,             0.80692,           0.0089667,           0.0038968,           0.0019609,             0.00208,             0.00208,             0.00208
                  42,            0.014247,            0.010309,           0.0051385,             0.92716,               0.929,             0.96275,             0.80271,           0.0095072,           0.0038223,           0.0039296,            0.001882,            0.001882,            0.001882
                  43,            0.014339,             0.01004,           0.0060838,             0.92884,             0.94634,             0.96298,             0.81512,           0.0090017,           0.0037283,           0.0026455,            0.001684,            0.001684,            0.001684
                  44,            0.013968,            0.010211,           0.0046813,             0.94305,             0.94594,             0.96528,             0.81931,           0.0090777,           0.0037348,           0.0031802,            0.001486,            0.001486,            0.001486
                  45,            0.014736,            0.010161,           0.0061023,             0.93078,             0.95165,             0.96336,             0.81999,           0.0087706,           0.0037767,           0.0027108,            0.001288,            0.001288,            0.001288
                  46,            0.013211,           0.0098795,           0.0052989,             0.92442,              0.9572,              0.9656,              0.8174,           0.0091985,           0.0037958,           0.0033088,             0.00109,             0.00109,             0.00109
                  47,             0.01307,           0.0099617,           0.0050465,             0.92078,             0.95497,             0.96077,             0.81915,           0.0091806,             0.00383,           0.0028977,            0.000892,            0.000892,            0.000892
                  48,            0.013939,           0.0098862,           0.0046593,              0.9224,             0.94524,             0.96085,             0.81723,           0.0092973,           0.0038371,           0.0039441,            0.000694,            0.000694,            0.000694
                  49,            0.012708,           0.0095377,           0.0057152,              0.9071,             0.95384,             0.96475,             0.82944,           0.0091203,           0.0037689,           0.0042031,            0.000496,            0.000496,            0.000496
